epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,839.766,2.72839,4.25956,4.21971,0.00602,0.73752,0.02901,0.01234,2.53499,3.92057,4.11532,0.000540649,0.000540649,0.000540649
2,1704.26,2.42944,3.85858,3.87739,0.00674,0.72237,0.18321,0.11528,2.26142,3.78897,3.44757,0.00098778,0.00098778,0.00098778
3,2617.44,2.1577,3.34154,3.34944,0.00614,0.57843,0.00728,0.0023,3.08419,3.77187,5.25352,0.00132489,0.00132489,0.00132489
4,3544.42,2.02073,2.84092,3.04559,0.13914,0.05971,0.21263,0.0998,2.30159,3.38924,3.34951,0.0011719,0.0011719,0.0011719
5,4400.77,1.89491,2.5381,2.88485,0.76022,0.18518,0.31421,0.17882,2.01447,3.36535,3.10315,0.00100687,0.00100687,0.00100687
6,5246.09,1.85336,2.45036,2.83031,0.65313,0.40405,0.34234,0.19056,1.95429,2.96247,2.96462,0.000841835,0.000841835,0.000841835
7,6091.57,1.79494,2.18811,2.75341,0.54041,0.51242,0.51125,0.31087,1.85019,2.41935,2.77239,0.000676802,0.000676802,0.000676802
8,6932.37,1.75187,2.10709,2.68701,0.60776,0.55036,0.53979,0.37282,1.72716,2.50703,2.69891,0.000511769,0.000511769,0.000511769
9,7740.9,1.68058,2.01036,2.61615,0.55423,0.32175,0.39599,0.23091,1.75128,2.77088,2.8144,0.000346736,0.000346736,0.000346736
10,8553.06,1.62349,1.88048,2.56288,0.63394,0.54869,0.57176,0.38269,1.69454,2.25665,2.65128,0.000181703,0.000181703,0.000181703
